2024-09-02/12:05:32 [ERR] #/Users/zq/web3/go_template/internal/handler/user.go#github.com/Zkeai/go_template/internal/handler.userRegister#31行#[[Error 1406 (22001): Data too long for column 'wallet' at row 1]]
2024-09-02/12:16:30 [INF] #/Users/zq/web3/go_template/common/middleware/casbin.go#github.com/Zkeai/go_template/internal/handler.InitRouter.CasbinMiddleware.func3#13行#[[CasbinMiddleware 0xf5f77d4e368f6ee1115515db3a537bbf98888888]]
2024-09-02/13:32:26 [INF] #/Users/zq/web3/go_template/common/middleware/casbin.go#github.com/Zkeai/go_template/common/middleware.CasbinMiddleware.func1#25行#[[获取sub ]]
2024-09-02/13:33:56 [INF] #/Users/zq/web3/go_template/common/middleware/casbin.go#github.com/Zkeai/go_template/common/middleware.CasbinMiddleware.func1#25行#[[获取sub ]]
2024-09-02/13:35:52 [INF] #/Users/zq/web3/go_template/common/middleware/casbin.go#github.com/Zkeai/go_template/common/middleware.CasbinMiddleware.func1#25行#[[获取sub ]]
2024-09-02/13:41:51 [INF] #/Users/zq/web3/go_template/common/middleware/casbin.go#github.com/Zkeai/go_template/common/middleware.CasbinMiddleware.func1#25行#[[获取sub ]]
2024-09-02/13:45:36 [INF] #/Users/zq/web3/go_template/common/middleware/casbin.go#github.com/Zkeai/go_template/common/middleware.CasbinMiddleware.func1#32行#[[获取sub ]]
2024-09-02/13:46:00 [INF] #/Users/zq/web3/go_template/common/middleware/casbin.go#github.com/Zkeai/go_template/common/middleware.CasbinMiddleware.func1#32行#[[获取sub ]]
2024-09-02/13:47:06 [INF] #/Users/zq/web3/go_template/common/middleware/casbin.go#github.com/Zkeai/go_template/common/middleware.CasbinMiddleware.func1#32行#[[获取sub ]]
2024-09-02/13:54:40 [INF] #/Users/zq/web3/go_template/common/middleware/casbin.go#github.com/Zkeai/go_template/common/middleware.CasbinMiddleware.func1#31行#[[获取sub ]]
2024-09-02/13:55:01 [INF] #/Users/zq/web3/go_template/common/middleware/casbin.go#github.com/Zkeai/go_template/common/middleware.CasbinMiddleware.func1#31行#[[获取sub ]]
2024-09-02/13:58:36 [INF] #/Users/zq/web3/go_template/common/middleware/casbin.go#github.com/Zkeai/go_template/internal/handler.InitRouter.CasbinMiddleware.func3#40行#[[获取sub user]]
